"IdVenta";"Metier";"Puerto.venta";"Trimestre";"Especie.comercial.Gen";"Especie.comercial";"Especie.comercial.ALFA3";"Especie.muestreada";"Especie.muestreada.ALFA3";"Peso";"TripSamp"
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Salmonete de roca";"Salmonete de roca";"MUR";"Salmonete de roca";"MUR";215;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Soleidos";"Soleidos";"SOX";"Soldadito";"MKG";95;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Triglidos";"Triglidos";"GUX";"Bejel";"GUU";148,029491324;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Triglidos";"Triglidos";"GUX";"Perlon";"GUG";60,5;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Verdel - Caballa";"Verdel - Caballa";"MAC";"Verdel - Caballa";"MAC";367,5;1
530700;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";9470;1
530702;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";12686;1
530707;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";5287;1
530715;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";10348;1
530717;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";11139;1
530718;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";13688;1
530725;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";14418;1
530732;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Chicharro Negro";"Chicharro Negro";"HOM";"Chicharro Negro";"HOM";150;1
530732;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Fanecas spp";"Faneca comun";"BIB";"Faneca comun";"BIB";13,2;1
530732;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Gallos - ollarra";"Gallos - ollarra";"LEZ";"Gallo boscii";"LDB";0,708854364;1
530732;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Gallos - ollarra";"Gallos - ollarra";"LEZ";"Gallo whiffiagonis";"MEG";13,992;1
530732;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Lirio - Bacaladilla";"Lirio - Bacaladilla";"WHB";"Lirio - Bacaladilla";"WHB";212;1
530732;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Merluza europea";"Merluza europea";"HKE";"Merluza europea";"HKE";2760;1
530732;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Peon - pez plata";"Peon - pez plata";"ARY";"Peon - pez plata";"ARY";11;1
530732;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Pintarroja";"Pintarroja";"SYC";"Pintarroja";"SYC";45;1
